english_name,chinese_name,bilingual_name
file_id,文件编号,文件编号 / file_id
original_path,原始音频路径,原始音频路径 / original_path
wav_path,标准化WAV路径,标准化WAV路径 / wav_path
status,处理状态,处理状态 / status
duration_sec,音频总时长_秒,音频总时长_秒 / duration_sec
pause_count,停顿次数,停顿次数 / pause_count
total_pause_duration_sec,停顿相关指标,停顿相关指标 / total_pause_duration_sec
phonation_time_sec,phonation_time_sec,phonation_time_sec / phonation_time_sec
pause_ratio,停顿时间占总时长比例,停顿时间占总时长比例 / pause_ratio
librosa_rms_mean,能量或音量相关指标,能量或音量相关指标 / librosa_rms_mean
librosa_rms_std,能量或音量相关指标,能量或音量相关指标 / librosa_rms_std
librosa_rms_min,能量或音量相关指标,能量或音量相关指标 / librosa_rms_min
librosa_rms_max,能量或音量相关指标,能量或音量相关指标 / librosa_rms_max
estimated_syllable_count,估计音节数,估计音节数 / estimated_syllable_count
estimated_speech_rate_syll_per_sec,语音或语速相关指标,语音或语速相关指标 / estimated_speech_rate_syll_per_sec
estimated_articulation_rate_syll_per_sec,estimated_articulation_rate_syll_per_sec,estimated_articulation_rate_syll_per_sec / estimated_articulation_rate_syll_per_sec
average_syllable_duration_sec,时长相关指标,时长相关指标 / average_syllable_duration_sec
librosa_mfcc1_mean,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc1_mean
librosa_mfcc1_std,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc1_std
librosa_mfcc1_min,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc1_min
librosa_mfcc1_max,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc1_max
librosa_mfcc2_mean,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc2_mean
librosa_mfcc2_std,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc2_std
librosa_mfcc2_min,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc2_min
librosa_mfcc2_max,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc2_max
librosa_mfcc3_mean,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc3_mean
librosa_mfcc3_std,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc3_std
librosa_mfcc3_min,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc3_min
librosa_mfcc3_max,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc3_max
librosa_mfcc4_mean,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc4_mean
librosa_mfcc4_std,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc4_std
librosa_mfcc4_min,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc4_min
librosa_mfcc4_max,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc4_max
librosa_mfcc5_mean,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc5_mean
librosa_mfcc5_std,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc5_std
