english_name,chinese_name,bilingual_name
file_id,文件编号,文件编号 / file_id
original_path,原始音频路径,原始音频路径 / original_path
wav_path,标准化WAV路径,标准化WAV路径 / wav_path
status,处理状态,处理状态 / status
praat_intensity_mean_db,强度相关指标,强度相关指标 / praat_intensity_mean_db
praat_intensity_std_db,强度相关指标,强度相关指标 / praat_intensity_std_db
praat_intensity_min_db,强度相关指标,强度相关指标 / praat_intensity_min_db
praat_intensity_max_db,强度相关指标,强度相关指标 / praat_intensity_max_db
praat_F1_mean_hz,praat_F1_mean_hz,praat_F1_mean_hz / praat_F1_mean_hz
praat_F1_std_hz,praat_F1_std_hz,praat_F1_std_hz / praat_F1_std_hz
praat_F1_median_hz,praat_F1_median_hz,praat_F1_median_hz / praat_F1_median_hz
praat_F2_mean_hz,praat_F2_mean_hz,praat_F2_mean_hz / praat_F2_mean_hz
praat_F2_std_hz,praat_F2_std_hz,praat_F2_std_hz / praat_F2_std_hz
praat_F2_median_hz,praat_F2_median_hz,praat_F2_median_hz / praat_F2_median_hz
praat_F3_mean_hz,praat_F3_mean_hz,praat_F3_mean_hz / praat_F3_mean_hz
praat_F3_std_hz,praat_F3_std_hz,praat_F3_std_hz / praat_F3_std_hz
praat_F3_median_hz,praat_F3_median_hz,praat_F3_median_hz / praat_F3_median_hz
praat_HNR_mean_db,谐波噪声比或谐波性相关指标,谐波噪声比或谐波性相关指标 / praat_HNR_mean_db
praat_HNR_std_db,谐波噪声比或谐波性相关指标,谐波噪声比或谐波性相关指标 / praat_HNR_std_db
praat_jitter_local,频率微扰Jitter相关指标,频率微扰Jitter相关指标 / praat_jitter_local
praat_jitter_rap,频率微扰Jitter相关指标,频率微扰Jitter相关指标 / praat_jitter_rap
praat_jitter_ppq5,频率微扰Jitter相关指标,频率微扰Jitter相关指标 / praat_jitter_ppq5
praat_shimmer_local,振幅微扰Shimmer相关指标,振幅微扰Shimmer相关指标 / praat_shimmer_local
praat_shimmer_apq3,振幅微扰Shimmer相关指标,振幅微扰Shimmer相关指标 / praat_shimmer_apq3
praat_shimmer_apq5,振幅微扰Shimmer相关指标,振幅微扰Shimmer相关指标 / praat_shimmer_apq5
praat_shimmer_apq11,振幅微扰Shimmer相关指标,振幅微扰Shimmer相关指标 / praat_shimmer_apq11
