sentence_id,text,start_time,end_time,total_duration,speech_time,pause_time,pause_count,pause_ratio,word_count,char_count,syllable_count,speech_rate_words_per_sec,speech_rate_chars_per_sec,speech_rate_words_per_min,speech_rate_chars_per_min,avg_syllable_duration,target_char_count,matched_char_count,missing_char_count
1,呃 如果说到我非常开心的事情,0.0,6.0,6.0,5.12,0.88,2,0.146667,13,13,13,2.166667,2.166667,130.0,130.0,0.393846,13,13,0
2,呃 第一个印在我、第一个出现在我脑海中的事情,6.8,12.88,6.08,3.76,1.68,2,0.276316,20,20,20,3.289474,3.289474,197.368421,197.368421,0.188,20,20,0
3,就是在前年十一月份的时候,12.96,17.92,4.96,3.04,1.76,2,0.354839,12,12,12,2.419355,2.419355,145.16129,145.16129,0.253333,12,12,0
4,呃 收到了呃这一家目前正在任职的这家公司的入职的offer,19.04,25.68,6.64,4.64,1.6,2,0.240964,24,28,24,3.614458,4.216867,216.86747,253.012048,0.193333,28,28,0
5,因为呃这家公司,26.56,28.96,2.4,1.52,0.8,2,0.333333,7,7,7,2.916667,2.916667,175.0,175.0,0.217143,7,7,0
6,呃 第一个是我觉得非常的有前景,28.96,35.84,6.88,2.72,4.0,2,0.581395,14,14,14,2.034884,2.034884,122.093023,122.093023,0.194286,14,14,0
7,呃第二个就是工作氛围我很喜欢,36.4,39.36,2.96,1.92,0.48,1,0.162162,14,14,14,4.72973,4.72973,283.783784,283.783784,0.137143,14,14,0
8,第三个就是它是我想要呃转行转型的第一次尝试,39.52,46.0,6.48,4.48,1.92,3,0.296296,21,21,21,3.240741,3.240741,194.444444,194.444444,0.213333,21,21,0
9,然后就一次就成功了,46.48,48.08,1.6,1.44,0,0,0.0,9,9,9,5.625,5.625,337.5,337.5,0.16,9,9,0
10,所以就不管是在我对自己能力的认可,48.32,51.68,3.36,2.96,0.32,1,0.095238,16,16,16,4.761905,4.761905,285.714286,285.714286,0.185,16,16,0
11,或者是说对我呃自己未来的一个规划上都是,52.08,57.36,5.28,4.08,1.12,2,0.212121,19,19,19,3.598485,3.598485,215.909091,215.909091,0.214737,19,19,0
12,呃 当时是非常开心的一个、一个事情,57.36,64.16,6.8,4.48,2.24,3,0.329412,15,15,15,2.205882,2.205882,132.352941,132.352941,0.298667,15,15,0
13,呃 当时是我的朋友呃在我的身边,65.2,73.92,8.72,4.0,4.48,2,0.513761,14,14,14,1.605505,1.605505,96.330275,96.330275,0.285714,14,14,0
14,因为这个工作机会就是他推荐给我的,73.92,76.64,2.72,2.32,0,0,0.0,16,16,16,5.882353,5.882353,352.941176,352.941176,0.145,16,16,0
15,所以他在我的身边一直参与了整个过程,77.76,80.32,2.56,2.32,0,0,0.0,17,17,17,6.640625,6.640625,398.4375,398.4375,0.136471,17,17,0
16,也分享了我的这个喜悦,80.56,83.04,2.48,1.52,0.48,1,0.193548,10,10,10,4.032258,4.032258,241.935484,241.935484,0.152,10,10,0
17,嗯 应该没有了,0.0,0.0,0.0,0,0,0,0.0,6,6,6,0.0,0.0,0.0,0.0,0.0,6,0,6
